134.908, 1940, Nov Average, Uganda, UGA
32.0065, 1940, Dec Average, Uganda, UGA
27.2644, 1941, Jan Average, Uganda, UGA
60.8076, 1941, Feb Average, Uganda, UGA
92.3412, 1941, Mar Average, Uganda, UGA
175.489, 1941, Apr Average, Uganda, UGA
171.764, 1941, May Average, Uganda, UGA
124.339, 1941, Jun Average, Uganda, UGA
59.9231, 1941, Jul Average, Uganda, UGA
136.338, 1941, Aug Average, Uganda, UGA
85.1739, 1941, Sep Average, Uganda, UGA
104.336, 1941, Oct Average, Uganda, UGA
169.262, 1941, Nov Average, Uganda, UGA
123.005, 1941, Dec Average, Uganda, UGA
59.4602, 1942, Jan Average, Uganda, UGA
44.773, 1942, Feb Average, Uganda, UGA
168.061, 1942, Mar Average, Uganda, UGA
191.069, 1942, Apr Average, Uganda, UGA
202.136, 1942, May Average, Uganda, UGA
71.8616, 1942, Jun Average, Uganda, UGA
62.3728, 1942, Jul Average, Uganda, UGA
177.082, 1942, Aug Average, Uganda, UGA
83.3636, 1942, Sep Average, Uganda, UGA
59.9471, 1942, Oct Average, Uganda, UGA
45.5899, 1942, Nov Average, Uganda, UGA
44.6694, 1942, Dec Average, Uganda, UGA
17.6652, 1943, Jan Average, Uganda, UGA
70.2466, 1943, Feb Average, Uganda, UGA
53.3619, 1943, Mar Average, Uganda, UGA
148.518, 1943, Apr Average, Uganda, UGA
132.866, 1943, May Average, Uganda, UGA
122.592, 1943, Jun Average, Uganda, UGA
69.8034, 1943, Jul Average, Uganda, UGA
146.278, 1943, Aug Average, Uganda, UGA
83.5371, 1943, Sep Average, Uganda, UGA
73.4043, 1943, Oct Average, Uganda, UGA
29.2208, 1943, Nov Average, Uganda, UGA
32.3163, 1943, Dec Average, Uganda, UGA
39.1009, 1944, Jan Average, Uganda, UGA
37.6212, 1944, Feb Average, Uganda, UGA
116.826, 1944, Mar Average, Uganda, UGA
155.947, 1944, Apr Average, Uganda, UGA
147.19, 1944, May Average, Uganda, UGA
66.2525, 1944, Jun Average, Uganda, UGA
87.0388, 1944, Jul Average, Uganda, UGA
138.568, 1944, Aug Average, Uganda, UGA
144.376, 1944, Sep Average, Uganda, UGA
124.449, 1944, Oct Average, Uganda, UGA
118.894, 1944, Nov Average, Uganda, UGA
65.3949, 1944, Dec Average, Uganda, UGA
32.1781, 1945, Jan Average, Uganda, UGA
26.5855, 1945, Feb Average, Uganda, UGA
64.5239, 1945, Mar Average, Uganda, UGA
70.7489, 1945, Apr Average, Uganda, UGA
223.86, 1945, May Average, Uganda, UGA
105.676, 1945, Jun Average, Uganda, UGA
103.472, 1945, Jul Average, Uganda, UGA
167.631, 1945, Aug Average, Uganda, UGA
141.016, 1945, Sep Average, Uganda, UGA
97.7514, 1945, Oct Average, Uganda, UGA
106.587, 1945, Nov Average, Uganda, UGA
29.7858, 1945, Dec Average, Uganda, UGA
15.1518, 1946, Jan Average, Uganda, UGA
10.6566, 1946, Feb Average, Uganda, UGA
58.577, 1946, Mar Average, Uganda, UGA
191.866, 1946, Apr Average, Uganda, UGA
152.78, 1946, May Average, Uganda, UGA
113.056, 1946, Jun Average, Uganda, UGA
