137.496, 1945, Aug Average, Austria, AUT
115.69, 1945, Sep Average, Austria, AUT
76.5219, 1945, Oct Average, Austria, AUT
60.5721, 1945, Nov Average, Austria, AUT
67.4104, 1945, Dec Average, Austria, AUT
45.4823, 1946, Jan Average, Austria, AUT
103.532, 1946, Feb Average, Austria, AUT
38.7969, 1946, Mar Average, Austria, AUT
23.0116, 1946, Apr Average, Austria, AUT
82.3612, 1946, May Average, Austria, AUT
148.042, 1946, Jun Average, Austria, AUT
182.518, 1946, Jul Average, Austria, AUT
127.569, 1946, Aug Average, Austria, AUT
51.8523, 1946, Sep Average, Austria, AUT
73.7513, 1946, Oct Average, Austria, AUT
77.8513, 1946, Nov Average, Austria, AUT
83.3658, 1946, Dec Average, Austria, AUT
47.8266, 1947, Jan Average, Austria, AUT
96.2231, 1947, Feb Average, Austria, AUT
89.5613, 1947, Mar Average, Austria, AUT
49.0326, 1947, Apr Average, Austria, AUT
61.6545, 1947, May Average, Austria, AUT
120.78, 1947, Jun Average, Austria, AUT
139.228, 1947, Jul Average, Austria, AUT
53.6668, 1947, Aug Average, Austria, AUT
34.5606, 1947, Sep Average, Austria, AUT
27.3011, 1947, Oct Average, Austria, AUT
157.849, 1947, Nov Average, Austria, AUT
139.799, 1947, Dec Average, Austria, AUT
134.604, 1948, Jan Average, Austria, AUT
113.032, 1948, Feb Average, Austria, AUT
62.1804, 1948, Mar Average, Austria, AUT
76.6717, 1948, Apr Average, Austria, AUT
71.1782, 1948, May Average, Austria, AUT
203.086, 1948, Jun Average, Austria, AUT
208.413, 1948, Jul Average, Austria, AUT
147.486, 1948, Aug Average, Austria, AUT
47.6335, 1948, Sep Average, Austria, AUT
86.4845, 1948, Oct Average, Austria, AUT
34.882, 1948, Nov Average, Austria, AUT
34.3228, 1948, Dec Average, Austria, AUT
79.8301, 1949, Jan Average, Austria, AUT
18.0671, 1949, Feb Average, Austria, AUT
38.4748, 1949, Mar Average, Austria, AUT
81.4153, 1949, Apr Average, Austria, AUT
145.087, 1949, May Average, Austria, AUT
111.527, 1949, Jun Average, Austria, AUT
111.923, 1949, Jul Average, Austria, AUT
179.127, 1949, Aug Average, Austria, AUT
61.182, 1949, Sep Average, Austria, AUT
44.0139, 1949, Oct Average, Austria, AUT
148.453, 1949, Nov Average, Austria, AUT
89.4311, 1949, Dec Average, Austria, AUT
86.3181, 1950, Jan Average, Austria, AUT
72.0872, 1950, Feb Average, Austria, AUT
26.0344, 1950, Mar Average, Austria, AUT
127.342, 1950, Apr Average, Austria, AUT
53.343, 1950, May Average, Austria, AUT
62.4046, 1950, Jun Average, Austria, AUT
144.764, 1950, Jul Average, Austria, AUT
102.532, 1950, Aug Average, Austria, AUT
141.225, 1950, Sep Average, Austria, AUT
89.8473, 1950, Oct Average, Austria, AUT
152.97, 1950, Nov Average, Austria, AUT
98.3995, 1950, Dec Average, Austria, AUT
125.243, 1951, Jan Average, Austria, AUT
97.4939, 1951, Feb Average, Austria, AUT
108.703, 1951, Mar Average, Austria, AUT
57.8943, 1951, Apr Average, Austria, AUT
117.417, 1951, May Average, Austria, AUT
137.752, 1951, Jun Average, Austria, AUT
143.428, 1951, Jul Average, Austria, AUT
93.0809, 1951, Aug Average, Austria, AUT
85.619, 1951, Sep Average, Austria, AUT
17.2672, 1951, Oct Average, Austria, AUT
142.569, 1951, Nov Average, Austria, AUT
60.459, 1951, Dec Average, Austria, AUT
77.3086, 1952, Jan Average, Austria, AUT
108.15, 1952, Feb Average, Austria, AUT
92.0726, 1952, Mar Average, Austria, AUT
48.3438, 1952, Apr Average, Austria, AUT
93.7814, 1952, May Average, Austria, AUT
136.267, 1952, Jun Average, Austria, AUT
87.9638, 1952, Jul Average, Austria, AUT
119.373, 1952, Aug Average, Austria, AUT
131.328, 1952, Sep Average, Austria, AUT
144.961, 1952, Oct Average, Austria, AUT
101.602, 1952, Nov Average, Austria, AUT
72.2166, 1952, Dec Average, Austria, AUT
44.4442, 1953, Jan Average, Austria, AUT
39.9235, 1953, Feb Average, Austria, AUT
22.6451, 1953, Mar Average, Austria, AUT
